Symbol,Description,Price,Price - Currency,Price Change % 1 day,Pre-market Change %,"Moving Average Convergence Divergence (12,26) 1 day, Signal","Moving Average Convergence Divergence (12,26) 1 day, Level",Exponential Moving Average (200) 1 day,Volume 1 day,Relative Volume 1 day,Float shares outstanding,Float shares %,Candlestick Pattern 5 minutes,Market capitalization,Market capitalization - Currency,Sector,demand%
LBRT,Liberty Energy Inc.,19.26,USD,10.562571756601606,2.7554535017221404,-0.017984786373704,0.0296587117103719,19.554432593490024,3300124,1.5036585143036063,157895317.27199998,96.6217,"Hanging Man, Bearish Harami",3147386009.4041333,USD,Industrial services,2.0900708501158447
AUPH,Aurinia Pharmaceuticals Inc,10.565,USD,15.717415115005462,4.052573932091995,0.3866201145573916,0.4745929416812124,7.077393469549693,2956108,2.277350687405825,128659503.968,89.8592,,1512688904.1177435,USD,Health technology,2.297621169700171
BRZE,"Braze, Inc.",41.7,USD,-0.2392344497607519,-4.401913875598078,1.849631584782252,2.068768475142932,39.15802685107906,2091304,1.0801650558053222,65641512.02704,79.6318,"Long Upper Shadow, Shooting Star",4283697308.5837326,USD,Technology services,3.1859473303090886
UNFI,"United Natural Foods, Inc.",30.105,USD,21.98136142625608,14.181523500810371,1.1844177018231263,1.4632576258116998,17.653487164224362,1993318,2.999894952703132,58208557.5396,97.1613,,1803567599.206848,USD,Distribution services,3.4244414983895126
